Location,location_clean,population,population_millions,world_share_pct,date_parsed,source_clean,notes_clean
Australia,Australia,27724744.0,27.724744,0.3,2025-09-30,Official projection[66],[o]
Niger,Niger,27522750.0,27.52275,0.3,2025-07-01,National annual projection[67],
North Korea,North Korea,25950000.0,25.95,0.3,2024-07-01,National annual projection[68],
Syria,Syria,25620427.0,25.620427,0.3,2025-07-01,Monthly estimate[69],
Burkina Faso,Burkina Faso,24070553.0,24.070553,0.3,2025-07-01,Official projection[70],
Taiwan,Taiwan,23262544.0,23.262544,0.3,2026-04-30,Official estimate[71],[p]
Mali,Mali,22395489.0,22.395489,0.3,2022-06-15,2022 census result[72],
Sri Lanka,Sri Lanka,21781800.0,21.7818,0.3,2024-12-19,2024 census result[73],
Malawi,Malawi,20734262.0,20.734262,0.3,2025-07-01,National annual projection[74],
Kazakhstan,Kazakhstan,20547909.0,20.547909,0.2,2026-04-01,Official estimate[75],
Chile,Chile,20206953.0,20.206953,0.2,2025-06-30,National annual projection[76],
Zambia,Zambia,19693423.0,19.693423,0.2,2022-09-08,2022 census result[77],
Somalia,Somalia,19655000.0,19.655,0.2,2025-07-01,UN projection[32],[q]
Chad,Chad,19340757.0,19.340757,0.2,2025-07-01,National annual projection[78],
Senegal,Senegal,19075959.0,19.075959,0.2,2025-07-01,National annual projection[79],
Romania,Romania,19036031.0,19.036031,0.2,2025-01-01,Official estimate[80],
Guatemala,Guatemala,18312373.0,18.312373,0.2,2026-07-01,National annual projection[83],
